"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Gutless Plunderer","B","C","77870","6.47","11052","9.25","28853","45.6%","52.7%","5013","52.0%","7181","55.5%","12194","54.1%","16630","51.7%","2.3pp"
"Treetop Snarespinner","G","C","68050","5.32","8983","7.56","34997","68.2%","52.7%","5808","50.7%","8334","55.9%","14142","53.8%","20843","51.8%","1.9pp"
"Goblin Negotiation","R","U","26305","5.50","3325","7.86","8064","42.4%","52.7%","1322","49.9%","1882","53.8%","3204","52.2%","4861","53.1%","-0.9pp"
"Garruk's Uprising","G","U","23110","4.71","3314","6.31","10602","56.4%","52.7%","1829","48.7%","2300","53.1%","4129","51.2%","6471","53.7%","-2.5pp"
"Meteor Golem","","U","27647","5.19","4181","7.35","12927","53.7%","52.7%","2047","49.4%","3428","57.2%","5475","54.3%","7414","51.4%","2.9pp"
"Drakuseth, Maw of Flames","R","R","5220","2.56","1754","2.63","7218","72.2%","52.6%","1287","50.2%","1626","55.6%","2913","53.2%","4298","52.0%","1.2pp"
"Gnarlid Colony","G","C","68780","5.33","9609","7.43","42808","77.9%","52.6%","7801","51.0%","9476","52.6%","17277","51.9%","25477","53.1%","-1.2pp"
"Needletooth Pack","G","U","19830","3.85","3817","4.90","17465","80.5%","52.6%","2897","52.4%","3924","53.1%","6821","52.8%","10656","52.3%","0.5pp"
"Elfsworn Giant","G","C","71476","5.76","8384","8.45","27260","56.8%","52.6%","4514","49.7%","6332","53.9%","10846","52.2%","16424","52.7%","-0.5pp"
"Dwynen's Elite","G","C","69809","5.52","9421","7.80","36211","67.3%","52.6%","6599","52.6%","7970","52.8%","14569","52.7%","21552","52.3%","0.4pp"
"Akroma's Memorial","","M","348","","144","","664","81.6%","52.6%","125","","141","","266","","395","",""
"Ghalta, Primal Hunger","G","R","4480","2.15","1668","2.26","8163","86.8%","52.5%","1294","48.3%","1919","57.5%","3213","53.8%","4949","51.6%","2.2pp"
"Quilled Greatwurm","G","M","1621","1.50","978","1.48","4718","84.8%","52.4%","755","53.4%","1152","55.5%","1907","54.6%","2814","50.8%","3.9pp"
"Revenge of the Rats","B","U","27825","5.74","4138","8.03","8323","35.3%","52.4%","1413","47.7%","2099","55.1%","3512","52.1%","4809","52.6%","-0.4pp"
"Preposterous Proportions","G","R","9331","4.18","1518","5.52","4219","48.6%","52.4%","679","48.0%","998","56.8%","1677","53.2%","2539","51.8%","1.5pp"
"Inspiration from Beyond","U","U","30887","6.74","4648","9.18","8354","31.8%","52.4%","1425","49.2%","2302","55.9%","3727","53.3%","4606","51.5%","1.9pp"
